seed,file,name_presence,rating_presence,category_presence,developer_presence,os_presence,all5_presence
43,app_html/apkpure-1315.html,100,100,100,100,100,100
43,app_html/apkpure-1312.html,100,100,100,100,100,100
43,app_html/cnet-0524.html,100,100,100,100,100,100
43,app_html/appagg-1983.html,100,0,100,100,100,0
43,app_html/appagg-1618.html,100,0,100,100,100,0
43,app_html/cnet-1457.html,100,100,100,100,100,100
43,app_html/apkpure-2164.html,100,100,100,100,100,100
43,app_html/cnet-0334.html,100,100,100,100,100,100
43,app_html/aptoide-1506.html,100,100,100,100,100,100
43,app_html/aptoide-0304.html,100,100,100,100,100,100
43,app_html/appagg-0920.html,100,0,100,100,100,0
43,app_html/cnet-0362.html,100,100,100,100,100,100
43,app_html/appagg-1717.html,100,0,100,100,100,0
43,app_html/appagg-1188.html,100,100,100,100,100,100
43,app_html/aptoide-1989.html,100,100,100,100,100,100
43,app_html/apkpure-1962.html,100,100,100,100,100,100
43,app_html/apkpure-1524.html,100,100,100,100,100,100
43,app_html/appbrain-1207.html,100,100,100,100,100,100
43,app_html/aptoide-1126.html,100,100,100,100,100,100
43,app_html/appbrain-1393.html,100,100,100,100,100,100
43,app_html/appagg-1139.html,100,100,100,100,100,100
43,app_html/aptoide-0951.html,100,100,100,100,100,100
43,app_html/cnet-0277.html,100,100,100,100,100,100
43,app_html/appagg-0271.html,100,0,100,100,100,0
43,app_html/aptoide-1346.html,100,100,100,100,100,100
43,app_html/apkpure-0650.html,100,100,100,100,100,100
43,app_html/appagg-0220.html,100,0,100,100,100,0
43,app_html/cnet-0037.html,100,100,100,100,100,100
43,app_html/appagg-0451.html,100,0,100,100,100,0
43,app_html/appagg-1201.html,100,100,100,100,100,100
43,app_html/cnet-0098.html,100,100,100,100,100,100
43,app_html/appbrain-1250.html,100,100,100,100,100,100
43,app_html/appbrain-1843.html,100,100,100,100,100,100
43,app_html/apkpure-0217.html,100,100,100,100,100,100
43,app_html/appagg-0167.html,100,100,100,100,100,100
43,app_html/aptoide-1574.html,100,100,100,100,100,100
43,app_html/cnet-0267.html,100,100,100,100,100,100
43,app_html/cnet-0783.html,100,100,100,100,100,100
43,app_html/aptoide-0807.html,100,100,100,100,100,100
43,app_html/apkpure-1295.html,100,100,100,100,100,100
43,app_html/cnet-2040.html,100,100,100,100,100,100
43,app_html/apkpure-1428.html,100,100,100,100,100,100
43,app_html/aptoide-1101.html,100,100,100,100,100,100
43,app_html/appbrain-1286.html,100,100,100,100,100,100
43,app_html/apkpure-0049.html,100,100,100,100,100,100
43,app_html/appbrain-0230.html,100,100,100,100,100,100
43,app_html/apkpure-1910.html,100,100,100,100,100,100
43,app_html/cnet-0752.html,100,100,100,100,100,100
43,app_html/apkpure-1688.html,100,100,100,100,100,100
43,app_html/aptoide-0237.html,100,100,100,100,100,100
43,app_html/cnet-0195.html,100,100,100,100,100,100
43,app_html/apkpure-2066.html,100,100,100,100,100,100
43,app_html/appbrain-1428.html,100,100,100,100,100,100
43,app_html/aptoide-1124.html,100,100,100,100,100,100
43,app_html/appbrain-0299.html,100,100,100,100,100,100
43,app_html/aptoide-0896.html,100,100,100,100,100,100
43,app_html/aptoide-0635.html,100,100,100,100,100,100
43,app_html/aptoide-0399.html,100,100,100,100,100,100
43,app_html/appbrain-0537.html,100,100,100,100,100,100
43,app_html/appagg-0706.html,100,100,100,100,100,100
43,app_html/cnet-0292.html,100,100,100,100,100,100
43,app_html/aptoide-0351.html,100,100,100,100,100,100
43,app_html/appbrain-0543.html,100,100,100,100,100,100
43,app_html/appagg-0802.html,100,0,100,100,100,0
43,app_html/aptoide-1182.html,100,100,100,100,100,100
43,app_html/cnet-0290.html,100,100,100,100,100,100
43,app_html/cnet-0695.html,100,100,100,100,100,100
43,app_html/appagg-0560.html,100,0,100,100,100,0
43,app_html/apkpure-1507.html,100,100,100,100,100,100
43,app_html/appagg-1268.html,100,0,100,100,100,0
43,app_html/cnet-0309.html,100,100,100,100,100,100
43,app_html/appagg-0333.html,100,0,100,100,100,0
43,app_html/aptoide-0180.html,100,100,100,100,100,100
43,app_html/appagg-1458.html,100,0,100,100,100,0
43,app_html/appbrain-1566.html,100,100,100,100,100,100
43,app_html/cnet-0451.html,100,100,100,100,100,100
43,app_html/appbrain-1678.html,100,100,100,100,100,100
43,app_html/apkpure-0474.html,100,100,100,100,100,100
43,app_html/appbrain-0102.html,100,100,100,100,100,100
43,app_html/aptoide-0066.html,100,100,100,100,100,100
43,app_html/aptoide-1337.html,100,100,100,100,100,100
43,app_html/apkpure-1039.html,100,100,100,100,100,100
43,app_html/cnet-1347.html,100,100,100,100,100,100
43,app_html/appbrain-0064.html,100,100,100,100,100,100
43,app_html/aptoide-2050.html,100,100,100,100,100,100
43,app_html/appbrain-1225.html,100,100,100,100,100,100
43,app_html/appbrain-0180.html,100,100,100,100,100,100
43,app_html/cnet-0281.html,100,100,100,100,100,100
43,app_html/aptoide-2082.html,100,100,100,100,100,100
43,app_html/aptoide-1617.html,100,100,100,100,100,100
43,app_html/cnet-0335.html,100,100,100,100,100,100
43,app_html/appagg-1808.html,100,0,100,100,100,0
43,app_html/appbrain-1392.html,100,100,100,100,100,100
43,app_html/appbrain-1157.html,100,100,100,100,100,100
43,app_html/appbrain-0037.html,100,100,100,100,100,100
43,app_html/appbrain-1745.html,100,100,100,100,100,100
43,app_html/apkpure-0944.html,100,100,100,100,100,100
43,app_html/aptoide-0790.html,100,100,100,100,100,100
43,app_html/apkpure-0852.html,100,100,100,100,100,100
43,app_html/aptoide-2305.html,100,100,100,100,100,100
43,app_html/appbrain-1177.html,100,100,100,100,100,100
43,app_html/appagg-1041.html,100,0,100,100,100,0
43,app_html/cnet-1042.html,100,100,100,100,100,100
43,app_html/appagg-0558.html,100,0,100,100,100,0
43,app_html/appbrain-1612.html,100,100,100,100,100,100
43,app_html/cnet-1836.html,100,100,100,100,100,100
43,app_html/apkpure-1068.html,100,100,100,100,100,100
43,app_html/appbrain-1365.html,100,100,100,100,100,100
43,app_html/aptoide-2034.html,100,100,100,100,100,100
43,app_html/appbrain-0765.html,100,100,100,100,100,100
43,app_html/appbrain-1027.html,100,100,100,100,100,100
43,app_html/appbrain-1663.html,100,100,100,100,100,100
43,app_html/appbrain-1015.html,100,100,100,100,100,100
43,app_html/cnet-0629.html,100,100,100,100,100,100
43,app_html/appagg-0864.html,100,100,100,100,100,100
43,app_html/aptoide-1869.html,100,100,100,100,100,100
43,app_html/appbrain-1996.html,100,100,100,100,100,100
43,app_html/appbrain-0026.html,100,100,100,100,100,100
43,app_html/appagg-0065.html,100,100,100,100,100,100
43,app_html/cnet-1494.html,100,100,100,100,100,100
43,app_html/appagg-0350.html,100,0,100,100,100,0
43,app_html/aptoide-0973.html,100,100,100,100,100,100
43,app_html/appagg-1137.html,100,100,100,100,100,100
43,app_html/appbrain-2016.html,100,100,100,100,100,100
43,app_html/appagg-1025.html,100,100,100,100,100,100
43,app_html/cnet-2013.html,100,100,100,100,100,100
43,app_html/appagg-0775.html,100,100,100,100,100,100
43,app_html/appbrain-1122.html,100,100,100,100,100,100
43,app_html/apkpure-1539.html,100,100,100,100,100,100
43,app_html/apkpure-0687.html,100,100,100,100,100,100
43,app_html/aptoide-1923.html,100,100,100,100,100,100
43,app_html/cnet-1916.html,100,100,100,100,100,100
43,app_html/appagg-1021.html,100,100,100,100,100,100
43,app_html/appagg-0390.html,100,0,100,100,100,0
43,app_html/apkpure-0298.html,100,100,100,100,100,100
43,app_html/appbrain-0704.html,100,100,100,100,100,100
43,app_html/appagg-2031.html,100,0,100,100,100,0
43,app_html/aptoide-0393.html,100,100,100,100,100,100
43,app_html/cnet-1640.html,100,100,100,100,100,100
43,app_html/appagg-1492.html,100,0,100,100,100,0
43,app_html/appbrain-0885.html,100,100,100,100,100,100
43,app_html/cnet-2183.html,100,100,100,100,100,100
43,app_html/appagg-1704.html,100,0,100,100,100,0
43,app_html/aptoide-1375.html,100,100,100,100,100,100
43,app_html/apkpure-0409.html,100,100,100,100,100,100
43,app_html/apkpure-1612.html,100,100,100,100,100,100
43,app_html/appbrain-0650.html,100,100,100,100,100,100
43,app_html/appagg-2053.html,100,0,100,100,100,0
43,app_html/apkpure-0618.html,100,100,100,100,100,100
43,app_html/apkpure-1919.html,100,100,100,100,100,100
43,app_html/apkpure-0754.html,100,100,100,100,100,100
43,app_html/aptoide-2397.html,100,100,100,100,100,100
43,app_html/appbrain-0066.html,100,100,100,100,100,100
43,app_html/apkpure-0295.html,100,100,100,100,100,100
43,app_html/cnet-0390.html,100,100,100,100,100,100
43,app_html/appagg-1278.html,100,0,100,100,100,0
43,app_html/appagg-1940.html,100,0,100,100,100,0
43,app_html/aptoide-2333.html,100,100,100,100,100,100
43,app_html/appbrain-1216.html,100,100,100,100,100,100
43,app_html/aptoide-1266.html,100,100,100,0,100,0
43,app_html/appbrain-1728.html,100,100,100,100,100,100
43,app_html/apkpure-1179.html,100,100,100,100,100,100
43,app_html/appbrain-1271.html,100,100,100,100,100,100
43,app_html/cnet-2211.html,100,100,100,100,100,100
43,app_html/appagg-1628.html,100,0,100,100,100,0
43,app_html/apkpure-1252.html,100,100,100,100,100,100
43,app_html/aptoide-1070.html,100,100,100,100,100,100
43,app_html/apkpure-0613.html,100,100,100,100,100,100
43,app_html/appbrain-0961.html,100,100,100,100,100,100
43,app_html/appbrain-0089.html,100,100,100,100,100,100
43,app_html/apkpure-1961.html,100,100,100,100,100,100
43,app_html/apkpure-2269.html,100,100,100,100,100,100
43,app_html/aptoide-1072.html,100,100,100,100,100,100
43,app_html/appbrain-0860.html,100,100,100,100,100,100
43,app_html/appbrain-1668.html,100,100,100,100,100,100
43,app_html/cnet-1911.html,100,100,100,100,100,100
43,app_html/cnet-0438.html,100,100,100,100,100,100
43,app_html/aptoide-1275.html,100,100,100,100,100,100
43,app_html/appbrain-1650.html,100,100,100,100,100,100
43,app_html/appagg-1829.html,100,0,100,100,100,0
43,app_html/appagg-1168.html,100,0,100,100,100,0
43,app_html/apkpure-1373.html,100,100,100,100,100,100
43,app_html/cnet-1837.html,100,100,100,100,100,100
43,app_html/apkpure-1698.html,100,100,100,100,100,100
43,app_html/appagg-1894.html,100,0,100,100,100,0
43,app_html/apkpure-0587.html,100,100,100,100,100,100
43,app_html/apkpure-1088.html,100,100,100,100,100,100
43,app_html/aptoide-0586.html,100,100,100,100,100,100
43,app_html/appagg-1760.html,100,0,100,100,100,0
43,app_html/appagg-1343.html,100,100,100,100,100,100
43,app_html/aptoide-1523.html,100,100,100,100,100,100
43,app_html/appbrain-0883.html,100,100,100,100,100,100
43,app_html/cnet-1439.html,100,100,100,100,100,100
43,app_html/apkpure-1849.html,100,100,100,100,100,100
43,app_html/appbrain-0618.html,100,100,100,100,100,100
43,app_html/apkpure-1980.html,100,100,100,100,100,100
43,app_html/appagg-1280.html,100,100,100,100,100,100
43,app_html/apkpure-1293.html,100,100,100,100,100,100
43,app_html/appbrain-1670.html,100,100,100,100,100,100
43,app_html/appagg-1379.html,100,0,100,100,100,0
43,app_html/appagg-0525.html,100,100,100,100,100,100
43,app_html/aptoide-0027.html,100,100,100,100,100,100
43,app_html/aptoide-0463.html,100,100,100,100,100,100
43,app_html/cnet-1956.html,100,100,100,100,100,100
43,app_html/cnet-0861.html,100,100,100,100,100,100
43,app_html/cnet-0501.html,100,100,100,100,100,100
43,app_html/aptoide-1962.html,100,100,100,100,100,100
43,app_html/apkpure-0484.html,100,100,100,100,100,100
43,app_html/aptoide-1036.html,100,100,100,100,100,100
43,app_html/apkpure-1027.html,100,100,100,100,100,100
43,app_html/aptoide-2288.html,100,100,100,100,100,100
43,app_html/apkpure-0382.html,100,100,100,100,100,100
43,app_html/aptoide-2257.html,100,100,100,100,100,100
43,app_html/appagg-1713.html,100,0,100,100,100,0
43,app_html/appbrain-0422.html,100,100,100,100,100,100
43,app_html/aptoide-2415.html,100,100,100,100,100,100
43,app_html/apkpure-0318.html,100,100,100,100,100,100
43,app_html/aptoide-1074.html,100,100,100,100,100,100
43,app_html/cnet-2093.html,100,100,100,100,100,100
43,app_html/appbrain-0224.html,100,100,100,100,100,100
43,app_html/apkpure-0549.html,100,100,100,100,100,100
43,app_html/appbrain-1780.html,100,100,100,100,100,100
43,app_html/aptoide-1829.html,100,100,100,100,100,100
43,app_html/appbrain-0638.html,100,100,100,100,100,100
43,app_html/cnet-1915.html,100,100,100,100,100,100
43,app_html/appbrain-1067.html,100,100,100,100,100,100
43,app_html/appbrain-0185.html,100,100,100,100,100,100
43,app_html/apkpure-1268.html,100,100,100,100,100,100
43,app_html/appbrain-1913.html,100,100,100,100,100,100
43,app_html/apkpure-1777.html,100,100,100,100,100,100
43,app_html/apkpure-1160.html,100,100,100,100,100,100
43,app_html/aptoide-0203.html,100,100,100,100,100,100
43,app_html/appagg-1780.html,100,0,100,100,100,0
43,app_html/aptoide-1740.html,100,100,100,100,100,100
43,app_html/appagg-0260.html,100,100,100,100,100,100
43,app_html/aptoide-1176.html,100,100,100,100,100,100
43,app_html/appbrain-0204.html,100,100,100,100,100,100
43,app_html/appagg-1215.html,100,100,100,100,100,100
43,app_html/apkpure-1693.html,100,100,100,100,100,100
43,app_html/appbrain-1944.html,100,100,100,100,100,100
43,app_html/appbrain-1687.html,100,100,100,100,100,100
43,app_html/cnet-1762.html,100,100,100,100,100,100
43,app_html/appagg-1378.html,100,0,100,100,100,0
43,app_html/appagg-0625.html,100,100,100,100,100,100
43,app_html/aptoide-0862.html,100,100,100,100,100,100
43,app_html/appagg-0123.html,100,100,100,100,100,100
43,app_html/aptoide-2407.html,100,100,100,100,100,100
43,app_html/aptoide-1915.html,100,100,100,100,100,100
43,app_html/appagg-1864.html,100,0,100,100,100,0
43,app_html/cnet-0822.html,100,100,100,100,100,100
43,app_html/aptoide-0312.html,100,100,100,100,100,100
43,app_html/appagg-1134.html,100,100,100,100,100,100
43,app_html/apkpure-1154.html,100,100,100,100,100,100
43,app_html/cnet-0305.html,100,100,100,100,100,100
43,app_html/apkpure-2237.html,100,100,100,100,100,100
43,app_html/aptoide-1028.html,100,100,100,100,100,100
43,app_html/appagg-0809.html,100,100,100,100,100,100
43,app_html/appbrain-1366.html,100,100,100,100,100,100
43,app_html/aptoide-0264.html,100,100,100,100,100,100
43,app_html/appbrain-1746.html,100,100,100,100,100,100
43,app_html/appagg-0954.html,100,0,100,100,100,0
43,app_html/cnet-0681.html,100,100,100,100,100,100
43,app_html/apkpure-1745.html,100,100,100,100,100,100
43,app_html/appagg-0866.html,100,100,100,100,100,100
43,app_html/appagg-1331.html,100,100,100,100,100,100
43,app_html/appagg-1451.html,100,0,100,100,100,0
43,app_html/apkpure-2088.html,100,100,100,100,100,100
43,app_html/appbrain-0382.html,100,100,100,100,100,100
43,app_html/aptoide-1592.html,100,100,100,100,100,100
43,app_html/apkpure-0150.html,100,100,100,100,100,100
43,app_html/cnet-1499.html,100,100,100,100,100,100
43,app_html/appbrain-0592.html,100,100,100,100,100,100
43,app_html/cnet-0725.html,100,100,100,100,100,100
43,app_html/cnet-1716.html,100,100,100,100,100,100
43,app_html/appbrain-0590.html,100,100,100,100,100,100
43,app_html/apkpure-0418.html,100,100,100,100,100,100
43,app_html/apkpure-0199.html,100,100,100,100,100,100
43,app_html/apkpure-1188.html,100,100,100,100,100,100
43,app_html/cnet-1235.html,100,100,100,100,100,100
43,app_html/aptoide-0043.html,100,100,100,100,100,100
43,app_html/aptoide-1014.html,100,100,100,100,100,100
43,app_html/appbrain-0518.html,100,100,100,100,100,100
43,app_html/aptoide-1614.html,100,100,100,100,100,100
43,app_html/appagg-1153.html,100,100,100,100,100,100
43,app_html/aptoide-0727.html,100,100,100,100,100,100
43,app_html/apkpure-1159.html,100,100,100,100,100,100
43,app_html/cnet-1095.html,100,100,100,100,100,100
43,app_html/appagg-0769.html,100,100,100,100,100,100
43,app_html/apkpure-0249.html,100,100,100,100,100,100
43,app_html/aptoide-1191.html,100,100,100,100,100,100
43,app_html/aptoide-2440.html,100,100,100,100,100,100
43,app_html/appbrain-0666.html,100,100,100,100,100,100
43,app_html/aptoide-0782.html,100,100,100,100,100,100
43,app_html/aptoide-2430.html,100,100,100,100,100,100
43,app_html/cnet-1848.html,100,100,100,100,100,100
43,app_html/appbrain-0025.html,100,100,100,100,100,100
43,app_html/apkpure-0826.html,100,100,100,100,100,100
43,app_html/appagg-1056.html,100,0,100,100,100,0
43,app_html/cnet-1674.html,100,100,100,100,100,100
43,app_html/apkpure-0320.html,100,100,100,100,100,100
43,app_html/aptoide-0500.html,100,100,100,100,100,100
43,app_html/cnet-2036.html,100,100,100,100,100,100
43,app_html/appbrain-1112.html,100,100,100,100,100,100
43,app_html/aptoide-0752.html,100,100,100,100,100,100
43,app_html/aptoide-0488.html,100,100,100,100,100,100
43,app_html/cnet-0208.html,100,100,100,100,100,100
43,app_html/appbrain-1013.html,100,100,100,100,100,100
43,app_html/apkpure-1457.html,100,100,100,100,100,100
43,app_html/cnet-1750.html,100,100,100,100,100,100
43,app_html/appagg-0374.html,100,0,100,100,100,0
43,app_html/apkpure-1918.html,100,100,100,100,100,100
43,app_html/appbrain-1742.html,100,100,100,100,100,100
43,app_html/aptoide-2197.html,100,100,100,100,100,100
43,app_html/appbrain-1688.html,100,100,100,100,100,100
43,app_html/cnet-1780.html,100,100,100,100,100,100
43,app_html/appbrain-1434.html,100,100,100,100,100,100
43,app_html/appbrain-1504.html,100,100,100,100,100,100
43,app_html/cnet-1258.html,100,100,100,100,100,100
43,app_html/cnet-2071.html,100,100,100,100,100,100
43,app_html/appbrain-0700.html,100,100,100,100,100,100
43,app_html/appbrain-0366.html,100,100,100,100,100,100
43,app_html/appagg-1113.html,100,0,100,100,100,0
43,app_html/aptoide-2144.html,100,100,100,100,100,100
