seed,file,name_presence,price_presence,material_presence,color_presence,size_presence,all5_presence
43,fashion_html/hm-0989.html,100,100,100,100,100,100
43,fashion_html/24s-1594.html,100,100,0,100,0,0
43,fashion_html/zara-0140.html,100,100,100,100,100,100
43,fashion_html/24s-0817.html,100,100,100,100,100,100
43,fashion_html/24s-1821.html,100,100,100,100,100,100
43,fashion_html/zara-1922.html,100,100,100,100,100,100
43,fashion_html/flannels-0888.html,100,100,0,100,100,0
43,fashion_html/24s-2072.html,100,100,100,100,100,100
43,fashion_html/flannels-2085.html,100,100,0,100,100,0
43,fashion_html/flannels-0764.html,100,100,0,100,100,0
43,fashion_html/hm-1039.html,100,100,100,100,0,0
43,fashion_html/hm-0152.html,100,100,100,100,100,100
43,fashion_html/farfetch-1645.html,100,100,100,100,100,100
43,fashion_html/hm-0671.html,100,100,100,100,0,0
43,fashion_html/flannels-1389.html,100,100,0,100,100,0
43,fashion_html/flannels-2160.html,100,100,0,100,100,0
43,fashion_html/zara-0634.html,100,100,100,100,0,0
43,fashion_html/24s-2162.html,100,100,100,100,100,100
43,fashion_html/flannels-0134.html,100,100,0,100,100,0
43,fashion_html/flannels-1004.html,100,100,0,100,100,0
43,fashion_html/24s-0043.html,100,100,100,100,100,100
43,fashion_html/24s-0709.html,100,100,100,100,100,100
43,fashion_html/zara-1555.html,100,100,100,100,100,100
43,fashion_html/hm-2011.html,100,100,0,100,0,0
43,fashion_html/flannels-2167.html,100,100,0,100,100,0
43,fashion_html/farfetch-1103.html,100,100,100,0,100,0
43,fashion_html/hm-0598.html,100,100,100,100,0,0
43,fashion_html/hm-0304.html,100,100,100,100,100,100
43,fashion_html/flannels-1431.html,100,100,0,100,100,0
43,fashion_html/zara-1217.html,100,100,100,100,100,100
43,fashion_html/24s-1749.html,100,100,100,100,100,100
43,fashion_html/farfetch-1772.html,100,100,100,100,100,100
43,fashion_html/hm-1164.html,100,100,0,100,0,0
43,fashion_html/flannels-2165.html,100,100,100,100,100,100
43,fashion_html/zara-1122.html,100,100,100,100,0,0
43,fashion_html/zara-0000.html,100,100,100,100,100,100
43,fashion_html/hm-1603.html,100,100,100,100,0,0
43,fashion_html/farfetch-1734.html,100,100,100,100,100,100
43,fashion_html/zara-1500.html,100,100,100,100,0,0
43,fashion_html/farfetch-0647.html,100,100,100,100,100,100
43,fashion_html/farfetch-0358.html,100,100,100,100,100,100
43,fashion_html/flannels-0236.html,100,100,0,100,100,0
43,fashion_html/farfetch-0576.html,100,100,100,100,100,100
43,fashion_html/24s-1978.html,100,100,100,100,100,100
43,fashion_html/hm-0192.html,100,100,100,100,100,100
43,fashion_html/farfetch-0264.html,100,100,100,100,100,100
43,fashion_html/24s-0866.html,100,100,100,100,100,100
43,fashion_html/flannels-0916.html,100,100,0,100,100,0
43,fashion_html/zara-0164.html,100,100,100,100,0,0
43,fashion_html/farfetch-0079.html,100,100,100,100,100,100
43,fashion_html/hm-1605.html,100,100,100,100,100,100
43,fashion_html/hm-1466.html,100,100,100,100,100,100
43,fashion_html/hm-0901.html,100,100,100,100,100,100
43,fashion_html/zara-2062.html,100,100,100,100,0,0
43,fashion_html/farfetch-0563.html,100,100,100,100,100,100
43,fashion_html/flannels-1507.html,100,100,0,100,100,0
43,fashion_html/hm-0426.html,100,100,100,100,100,100
43,fashion_html/hm-0447.html,100,100,100,100,0,0
43,fashion_html/farfetch-0077.html,100,100,100,100,100,100
43,fashion_html/flannels-1918.html,100,100,0,100,100,0
43,fashion_html/farfetch-0891.html,100,100,100,100,100,100
43,fashion_html/flannels-1050.html,100,100,0,100,100,0
43,fashion_html/farfetch-0393.html,100,100,100,100,100,100
43,fashion_html/24s-2321.html,100,100,100,100,100,100
43,fashion_html/flannels-1927.html,100,100,0,100,100,0
43,fashion_html/hm-0853.html,100,100,100,100,100,100
43,fashion_html/farfetch-1064.html,100,100,100,100,100,100
43,fashion_html/zara-1713.html,100,100,100,100,100,100
43,fashion_html/24s-1027.html,100,100,100,100,100,100
43,fashion_html/farfetch-2158.html,100,100,100,100,100,100
43,fashion_html/hm-0902.html,100,0,100,100,100,0
43,fashion_html/zara-2031.html,100,100,100,100,0,0
43,fashion_html/zara-0409.html,100,100,100,100,100,100
43,fashion_html/24s-0534.html,100,100,100,100,100,100
43,fashion_html/24s-0833.html,100,100,100,100,100,100
43,fashion_html/hm-0682.html,100,100,100,100,0,0
43,fashion_html/hm-0353.html,100,0,100,100,100,0
43,fashion_html/hm-1658.html,100,100,100,100,100,100
43,fashion_html/farfetch-1234.html,100,100,100,100,100,100
43,fashion_html/zara-0626.html,100,100,100,100,0,0
43,fashion_html/24s-1357.html,100,100,100,100,100,100
43,fashion_html/zara-1642.html,100,100,100,100,100,100
43,fashion_html/24s-2149.html,100,100,100,100,100,100
43,fashion_html/hm-0023.html,100,100,100,100,100,100
43,fashion_html/farfetch-1343.html,100,100,100,100,100,100
43,fashion_html/flannels-1618.html,100,100,100,100,100,100
43,fashion_html/flannels-0238.html,100,100,100,100,100,100
43,fashion_html/hm-0351.html,100,0,100,100,0,0
43,fashion_html/zara-0345.html,100,100,100,100,0,0
43,fashion_html/flannels-1023.html,100,100,0,100,100,0
43,fashion_html/hm-1811.html,100,100,100,100,0,0
43,fashion_html/flannels-1802.html,100,100,100,100,100,100
43,fashion_html/24s-2246.html,100,100,100,100,100,100
43,fashion_html/24s-0735.html,100,100,0,100,100,0
43,fashion_html/24s-0456.html,100,100,100,100,100,100
43,fashion_html/flannels-0013.html,100,100,0,100,100,0
43,fashion_html/hm-1699.html,100,100,100,100,100,100
43,fashion_html/24s-1426.html,100,100,100,100,100,100
43,fashion_html/hm-0046.html,100,100,100,100,100,100
43,fashion_html/24s-1443.html,100,100,100,100,100,100
43,fashion_html/hm-0125.html,100,100,100,100,100,100
43,fashion_html/farfetch-0578.html,100,100,100,100,100,100
43,fashion_html/24s-1537.html,100,100,100,100,0,0
43,fashion_html/hm-1455.html,100,100,100,100,100,100
43,fashion_html/24s-1347.html,100,100,100,100,100,100
43,fashion_html/24s-0176.html,100,100,100,100,100,100
43,fashion_html/hm-0825.html,100,100,100,100,100,100
43,fashion_html/zara-1061.html,100,100,100,100,0,0
43,fashion_html/24s-0364.html,100,100,100,100,100,100
43,fashion_html/flannels-1824.html,100,100,100,100,100,100
43,fashion_html/flannels-1922.html,100,100,0,100,100,0
43,fashion_html/zara-1995.html,100,100,100,100,100,100
43,fashion_html/hm-0801.html,100,100,100,100,100,100
43,fashion_html/zara-1475.html,100,100,100,100,100,100
