seed,file,name_presence,duration_presence,stops_presence,price_presence,departure_time_presence,arrival_time_presence,airline_presence,all7_presence
42,flights_html/tripadvisor-1856.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-0351.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0870.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1186.html,0,100,100,100,100,0,100,0
42,flights_html/gotogate-0726.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1786.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-2033.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1108.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0487.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1577.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-1062.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0498.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1810.html,0,100,100,100,100,0,100,0
42,flights_html/farecompare-0119.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-0002.html,100,100,100,100,100,0,100,0
42,flights_html/cheapair-0743.html,100,100,100,100,100,0,100,0
42,flights_html/farecompare-1957.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0565.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1336.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-1827.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0475.html,100,100,100,0,100,100,100,0
42,flights_html/kayak-0658.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1489.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-0381.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0988.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-0849.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1324.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0406.html,100,100,100,0,100,100,100,0
42,flights_html/tripadvisor-0671.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0608.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1527.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1452.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-1431.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-0804.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1232.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1053.html,100,100,100,100,100,0,100,0
42,flights_html/kayak-0550.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0616.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-2204.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1981.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-1371.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-2135.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-2085.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1879.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1065.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-1594.html,100,100,100,100,100,100,100,100
