seed,file,title_presence,provider_presence,amount_presence,deadline_presence,award_presence,all5_presence
44,scholarships_html/scholarship-0949.html,100,100,100,100,0,0
44,scholarships_html/mastersportal-1171.html,100,100,100,100,100,100
44,scholarships_html/bigfuture-0364.html,100,100,100,100,100,100
44,scholarships_html/mastersportal-1392.html,100,100,100,100,100,100
44,scholarships_html/mastersportal-0005.html,100,100,100,100,100,100
44,scholarships_html/mastersportal-1922.html,100,100,100,100,100,100
44,scholarships_html/bigfuture-0907.html,100,100,100,100,100,100
44,scholarships_html/internationalscholarships-1022.html,100,100,100,100,100,100
44,scholarships_html/bigfuture-2072.html,100,100,100,100,100,100
44,scholarships_html/scholarship-0701.html,100,100,100,100,0,0
44,scholarships_html/scholarship-1064.html,100,100,100,100,100,100
44,scholarships_html/scholarship-1099.html,100,100,100,100,0,0
44,scholarships_html/scholarship-0542.html,100,100,100,100,0,0
44,scholarships_html/bigfuture-1586.html,100,100,100,100,100,100
44,scholarships_html/mastersportal-1881.html,100,100,100,100,100,100
44,scholarships_html/mastersportal-1309.html,100,100,100,100,100,100
44,scholarships_html/mastersportal-0839.html,100,100,100,100,100,100
44,scholarships_html/internationalscholarships-1437.html,100,100,0,100,100,0
44,scholarships_html/scholarship-2170.html,100,100,100,100,100,100
44,scholarships_html/scholarship-1280.html,100,100,100,100,0,0
44,scholarships_html/scholarship-0477.html,100,100,100,100,0,0
44,scholarships_html/scholarship-1943.html,100,100,100,100,100,100
44,scholarships_html/internationalscholarships-1155.html,100,100,100,100,100,100
44,scholarships_html/scholarships360-1573.html,100,0,100,100,100,0
44,scholarships_html/bigfuture-0102.html,100,100,100,100,100,100
44,scholarships_html/scholarship-1988.html,100,100,100,100,0,0
44,scholarships_html/mastersportal-0846.html,100,100,100,100,100,100
44,scholarships_html/bigfuture-0878.html,100,100,100,100,100,100
44,scholarships_html/scholarship-2033.html,100,100,100,100,100,100
44,scholarships_html/scholarships360-1991.html,100,0,100,100,100,0
44,scholarships_html/bigfuture-1930.html,100,100,100,100,100,100
44,scholarships_html/bigfuture-1279.html,100,100,100,100,100,100
44,scholarships_html/scholarships360-0734.html,100,0,100,100,100,0
44,scholarships_html/scholarship-0379.html,100,100,100,100,0,0
