method,domain,run_id,seed,exact_match_record,f1_slot_macro,f1_slot_micro,price_mae,price_mape,predictions_path,notes
gcn_bert,app,seed42,42,,0.8649,0.8649,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,cooking,seed42,42,,0.7815000000000001,0.7815000000000001,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,course,seed42,42,,0.8856999999999999,0.8856999999999999,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,events,seed42,42,,0.8678,0.8678,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,fashion,seed42,42,,0.6729,0.6729,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,flights,seed42,42,,0.9921,0.9921,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,hotel,seed42,42,,0.8973,0.8973,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,realestate,seed42,42,,0.9641,0.9641,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,scholarships,seed42,42,,0.9588,0.9588,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,tourist,seed42,42,,0.9540000000000001,0.9540000000000001,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,app,randA,,,0.8804000000000001,0.8804000000000001,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,cooking,randA,,,0.7841,0.7841,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,course,randA,,,0.8976000000000001,0.8976000000000001,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,events,randA,,,0.8753,0.8753,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,fashion,randA,,,0.6708,0.6708,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,flights,randA,,,0.9902,0.9902,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,hotel,randA,,,0.8965000000000001,0.8965000000000001,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,realestate,randA,,,0.9627,0.9627,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,scholarships,randA,,,0.9662999999999999,0.9662999999999999,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,tourist,randA,,,0.9562,0.9562,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,app,randB,,,0.8823000000000001,0.8823000000000001,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,cooking,randB,,,0.7884,0.7884,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,course,randB,,,0.8848,0.8848,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,events,randB,,,0.8695999999999999,0.8695999999999999,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,fashion,randB,,,0.6481,0.6481,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,flights,randB,,,0.9895999999999999,0.9895999999999999,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,hotel,randB,,,0.8956999999999999,0.8956999999999999,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,realestate,randB,,,0.9638,0.9638,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,scholarships,randB,,,0.9659,0.9659,,,,Imported from user-provided GCN+BERT report; no predictions available.
gcn_bert,tourist,randB,,,0.9598,0.9598,,,,Imported from user-provided GCN+BERT report; no predictions available.
