method,domain,f1_slot_micro_mean,f1_slot_micro_std,f1_slot_macro_mean,f1_slot_macro_std,n_runs
llama,app,0.8856333333333334,0.0024225789747475226,0.8856333333333334,0.0024225789747475226,3
llama,cooking,0.9908666666666666,0.002260285134421937,0.9908666666666666,0.002260285134421937,3
llama,course,0.9112666666666667,0.0048306889317731245,0.9112666666666667,0.0048306889317731245,3
llama,events,0.9728666666666667,0.0007717224601859653,0.9728666666666667,0.0007717224601859653,3
llama,fashion,0.7353333333333334,0.017473090421814046,0.7353333333333334,0.017473090421814046,3
llama,flights,0.9053333333333333,0.0019154343864745142,0.9053333333333333,0.0019154343864745142,3
llama,hotel,0.9944,0.0006976149845485636,0.9944,0.0006976149845485636,3
llama,realestate,0.8818,0.013209340129872703,0.8818,0.013209340129872703,3
llama,scholarships,0.9737333333333333,0.0009843215373488753,0.9737333333333333,0.0009843215373488753,3
llama,tourist,0.8880666666666667,0.002824102610663365,0.8880666666666667,0.002824102610663365,3
