method,domain,run_id,seed,exact_match_record,f1_slot_macro,f1_slot_micro,price_mae,price_mape,predictions_path,notes
llama,app,seed42,42,,0.8834000000000001,0.8834000000000001,,,,Imported from user-provided Llama report; no predictions available.
llama,cooking,seed42,42,,0.9904999999999999,0.9904999999999999,,,,Imported from user-provided Llama report; no predictions available.
llama,course,seed42,42,,0.9068999999999999,0.9068999999999999,,,,Imported from user-provided Llama report; no predictions available.
llama,events,seed42,42,,0.9736,0.9736,,,,Imported from user-provided Llama report; no predictions available.
llama,fashion,seed42,42,,0.7567,0.7567,,,,Imported from user-provided Llama report; no predictions available.
llama,flights,seed42,42,,0.9061,0.9061,,,,Imported from user-provided Llama report; no predictions available.
llama,hotel,seed42,42,,0.9934999999999999,0.9934999999999999,,,,Imported from user-provided Llama report; no predictions available.
llama,realestate,seed42,42,,0.8829,0.8829,,,,Imported from user-provided Llama report; no predictions available.
llama,scholarships,seed42,42,,0.9736,0.9736,,,,Imported from user-provided Llama report; no predictions available.
llama,tourist,seed42,42,,0.8867,0.8867,,,,Imported from user-provided Llama report; no predictions available.
llama,app,randA,,,0.889,0.889,,,,Imported from user-provided Llama report; no predictions available.
llama,cooking,randA,,,0.9937999999999999,0.9937999999999999,,,,Imported from user-provided Llama report; no predictions available.
llama,course,randA,,,0.9179999999999999,0.9179999999999999,,,,Imported from user-provided Llama report; no predictions available.
llama,events,randA,,,0.9718000000000001,0.9718000000000001,,,,Imported from user-provided Llama report; no predictions available.
llama,fashion,randA,,,0.7139,0.7139,,,,Imported from user-provided Llama report; no predictions available.
llama,flights,randA,,,0.9072,0.9072,,,,Imported from user-provided Llama report; no predictions available.
llama,hotel,randA,,,0.9952,0.9952,,,,Imported from user-provided Llama report; no predictions available.
llama,realestate,randA,,,0.8974,0.8974,,,,Imported from user-provided Llama report; no predictions available.
llama,scholarships,randA,,,0.975,0.975,,,,Imported from user-provided Llama report; no predictions available.
llama,tourist,randA,,,0.8855,0.8855,,,,Imported from user-provided Llama report; no predictions available.
llama,app,randB,,,0.8845000000000001,0.8845000000000001,,,,Imported from user-provided Llama report; no predictions available.
llama,cooking,randB,,,0.9883,0.9883,,,,Imported from user-provided Llama report; no predictions available.
llama,course,randB,,,0.9089,0.9089,,,,Imported from user-provided Llama report; no predictions available.
llama,events,randB,,,0.9732,0.9732,,,,Imported from user-provided Llama report; no predictions available.
llama,fashion,randB,,,0.7354,0.7354,,,,Imported from user-provided Llama report; no predictions available.
llama,flights,randB,,,0.9027,0.9027,,,,Imported from user-provided Llama report; no predictions available.
llama,hotel,randB,,,0.9945,0.9945,,,,Imported from user-provided Llama report; no predictions available.
llama,realestate,randB,,,0.8651000000000001,0.8651000000000001,,,,Imported from user-provided Llama report; no predictions available.
llama,scholarships,randB,,,0.9726,0.9726,,,,Imported from user-provided Llama report; no predictions available.
llama,tourist,randB,,,0.892,0.892,,,,Imported from user-provided Llama report; no predictions available.
