method,domain,f1_slot_micro_mean,f1_slot_micro_std,f1_slot_macro_mean,f1_slot_macro_std,n_runs
mistral,app,0.8258,0.011087229891486248,0.8258,0.011087229891486248,3
mistral,cooking,0.9047666666666667,0.003402286812653434,0.9047666666666667,0.003402286812653434,3
mistral,course,0.9455666666666667,0.0024225789747475226,0.9455666666666667,0.0024225789747475226,3
mistral,events,0.8866333333333333,0.0024553795814270412,0.8866333333333333,0.0024553795814270412,3
mistral,fashion,0.8834000000000001,0.002084866102814927,0.8834000000000001,0.002084866102814927,3
mistral,flights,0.8240666666666666,0.006343675765849211,0.8240666666666666,0.006343675765849211,3
mistral,hotel,0.8965,0.0006531972647421995,0.8965,0.0006531972647421995,3
mistral,realestate,0.8581,0.01047664068296708,0.8581,0.01047664068296708,3
mistral,scholarships,0.9655666666666667,0.0007717224601859812,0.9655666666666667,0.0007717224601859812,3
mistral,tourist,0.8763333333333334,0.0033865748019036752,0.8763333333333334,0.0033865748019036752,3
