method,domain,run_id,seed,exact_match_record,f1_slot_macro,f1_slot_micro,price_mae,price_mape,predictions_path,notes
mistral,app,seed42,42,,0.8412999999999999,0.8412999999999999,,,,Imported from user-provided Mistral report; no predictions available.
mistral,cooking,seed42,42,,0.9004000000000001,0.9004000000000001,,,,Imported from user-provided Mistral report; no predictions available.
mistral,course,seed42,42,,0.9478,0.9478,,,,Imported from user-provided Mistral report; no predictions available.
mistral,events,seed42,42,,0.8887999999999999,0.8887999999999999,,,,Imported from user-provided Mistral report; no predictions available.
mistral,fashion,seed42,42,,0.8828,0.8828,,,,Imported from user-provided Mistral report; no predictions available.
mistral,flights,seed42,42,,0.8315,0.8315,,,,Imported from user-provided Mistral report; no predictions available.
mistral,hotel,seed42,42,,0.8973,0.8973,,,,Imported from user-provided Mistral report; no predictions available.
mistral,realestate,seed42,42,,0.8609,0.8609,,,,Imported from user-provided Mistral report; no predictions available.
mistral,scholarships,seed42,42,,0.9645,0.9645,,,,Imported from user-provided Mistral report; no predictions available.
mistral,tourist,seed42,42,,0.8776,0.8776,,,,Imported from user-provided Mistral report; no predictions available.
mistral,app,randA,,,0.816,0.816,,,,Imported from user-provided Mistral report; no predictions available.
mistral,cooking,randA,,,0.9052,0.9052,,,,Imported from user-provided Mistral report; no predictions available.
mistral,course,randA,,,0.9422,0.9422,,,,Imported from user-provided Mistral report; no predictions available.
mistral,events,randA,,,0.8832,0.8832,,,,Imported from user-provided Mistral report; no predictions available.
mistral,fashion,randA,,,0.8812000000000001,0.8812000000000001,,,,Imported from user-provided Mistral report; no predictions available.
mistral,flights,randA,,,0.8247,0.8247,,,,Imported from user-provided Mistral report; no predictions available.
mistral,hotel,randA,,,0.8965000000000001,0.8965000000000001,,,,Imported from user-provided Mistral report; no predictions available.
mistral,realestate,randA,,,0.8693000000000001,0.8693000000000001,,,,Imported from user-provided Mistral report; no predictions available.
mistral,scholarships,randA,,,0.9662999999999999,0.9662999999999999,,,,Imported from user-provided Mistral report; no predictions available.
mistral,tourist,randA,,,0.8717,0.8717,,,,Imported from user-provided Mistral report; no predictions available.
mistral,app,randB,,,0.8201,0.8201,,,,Imported from user-provided Mistral report; no predictions available.
mistral,cooking,randB,,,0.9087000000000001,0.9087000000000001,,,,Imported from user-provided Mistral report; no predictions available.
mistral,course,randB,,,0.9467,0.9467,,,,Imported from user-provided Mistral report; no predictions available.
mistral,events,randB,,,0.8879,0.8879,,,,Imported from user-provided Mistral report; no predictions available.
mistral,fashion,randB,,,0.8862000000000001,0.8862000000000001,,,,Imported from user-provided Mistral report; no predictions available.
mistral,flights,randB,,,0.816,0.816,,,,Imported from user-provided Mistral report; no predictions available.
mistral,hotel,randB,,,0.8956999999999999,0.8956999999999999,,,,Imported from user-provided Mistral report; no predictions available.
mistral,realestate,randB,,,0.8441,0.8441,,,,Imported from user-provided Mistral report; no predictions available.
mistral,scholarships,randB,,,0.9659,0.9659,,,,Imported from user-provided Mistral report; no predictions available.
mistral,tourist,randB,,,0.8797,0.8797,,,,Imported from user-provided Mistral report; no predictions available.
