method,domain,f1_slot_micro_mean,f1_slot_micro_std,f1_slot_macro_mean,f1_slot_macro_std,n_runs
ours,app,0.9801,0.003906404996924939,0.9801,0.003906404996924939,3
ours,cooking,0.9604666666666667,0.0009392668535736786,0.9604666666666667,0.0009392668535736786,3
ours,course,0.9735,0.0015121728296284883,0.9735,0.0015121728296284883,3
ours,events,0.9818333333333333,0.0020885933597094507,0.9818333333333333,0.0020885933597094507,3
ours,fashion,0.9811666666666666,0.0011145502331534201,0.9811666666666666,0.0011145502331534201,3
ours,flights,0.9837,0.0010984838035522893,0.9837,0.0010984838035522893,3
ours,hotel,0.9737333333333333,0.0006599663291074128,0.9737333333333333,0.0006599663291074128,3
ours,realestate,0.9821333333333334,0.002007209228976601,0.9821333333333334,0.002007209228976601,3
ours,scholarships,0.9875,0.0018832595855767546,0.9875,0.0018832595855767546,3
ours,tourist,0.9863666666666667,0.0010498677165349287,0.9863666666666667,0.0010498677165349287,3
