method,domain,run_id,seed,exact_match_record,f1_slot_macro,f1_slot_micro,price_mae,price_mape,predictions_path,notes
ours,app,seed42,42,,0.9833,0.9833,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,cooking,seed42,42,,0.9593,0.9593,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,course,seed42,42,,0.9742000000000001,0.9742000000000001,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,events,seed42,42,,0.9845,0.9845,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,fashion,seed42,42,,0.9818000000000001,0.9818000000000001,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,flights,seed42,42,,0.9841,0.9841,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,hotel,seed42,42,,0.9736,0.9736,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,realestate,seed42,42,,0.9837,0.9837,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,scholarships,seed42,42,,0.9893000000000001,0.9893000000000001,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,tourist,seed42,42,,0.9873000000000001,0.9873000000000001,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,app,randA,,,0.9823999999999999,0.9823999999999999,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,cooking,randA,,,0.9616,0.9616,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,course,randA,,,0.9714,0.9714,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,events,randA,,,0.9815999999999999,0.9815999999999999,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,fashion,randA,,,0.9795999999999999,0.9795999999999999,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,flights,randA,,,0.9848,0.9848,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,hotel,randA,,,0.9745999999999999,0.9745999999999999,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,realestate,randA,,,0.9834,0.9834,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,scholarships,randA,,,0.9883,0.9883,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,tourist,randA,,,0.9869,0.9869,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,app,randB,,,0.9745999999999999,0.9745999999999999,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,cooking,randB,,,0.9605,0.9605,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,course,randB,,,0.9749,0.9749,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,events,randB,,,0.9793999999999999,0.9793999999999999,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,fashion,randB,,,0.9821,0.9821,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,flights,randB,,,0.9822,0.9822,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,hotel,randB,,,0.973,0.973,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,realestate,randB,,,0.9793000000000001,0.9793000000000001,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,scholarships,randB,,,0.9849,0.9849,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
ours,tourist,randB,,,0.9849,0.9849,,,,Imported from user-provided TGNN report (counts + P/R/F1); no predictions available.
